"","Conflict_Name","Conflict_Type","Region","Start_Year","End_Year","Status","Primary_Country","Pre_War_Unemployment_%","During_War_Unemployment_%","Unemployment_Spike_Percentage_Points","Most_Affected_Sector","Youth_Unemployment_Change_%","Pre_War_Poverty_Rate_%","During_War_Poverty_Rate_%","Extreme_Poverty_Rate_%","Food_Insecurity_Rate_%","Households_Fallen_Into_Poverty_Estimate","GDP_Change_%","Inflation_Rate_%","Currency_Devaluation_%","Cost_of_War_USD","Estimated_Reconstruction_Cost_USD","Informal_Economy_Size_Pre_War_%","Informal_Economy_Size_During_War_%","Black_Market_Activity_Level","Primary_Black_Market_Goods","Currency_Black_Market_Rate_Gap_%","War_Profiteering_Documented"
"4214","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",8.82,25.09,16.27,"Services",22,8.97,27.2,9.96,17.46,113096,-12.05,25.7,28.02,454588531318,1125588068331,15.75,24.47,"Moderate","fuel, weapons, food",4.54,"Yes"
"4215","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",6.57,18.94,12.37,"Services",14.11,21.61,36.17,12.03,27.54,2594006,-42.14,13.82,16.94,98347206287,229267777654,22.87,62.29,"Moderate","medicine, fuel, currency",321.45,"Yes"
"4216","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",13.41,36.15,22.74,"Manufacturing",33.03,7.7,31.89,21.65,22.74,15422,-45.93,83.98,92.21,113829886991,371628202279,14.31,39.1,"High","fuel",10.43,"No"
"4217","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",14.14,32.57,18.43,"Construction",22.34,21.47,33.11,12.21,18.77,3565,-41.05,21.25,31.64,271589845158,761903434913,35.27,58.93,"Dominant","medicine, food, weapons",422.91,"Yes"
"4218","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",13.33,79.58,66.25,"Construction",97.41,14.51,77.91,26.99,48.89,12909,-32.53,53.71,90.39,18190521709,43364420036,18.57,40.11,"Dominant","currency, food",12.79,"Yes"
"4219","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",6.03,9.43,3.4,"Agriculture",4.17,11.15,12.9,7.11,9.62,17744,-43.33,88.02,74.65,370325162451,1347408032131,23.32,50.67,"Moderate","food, medicine",392.17,"Yes"
"4220","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",9.41,23.98,14.56,"Construction",19.62,5.52,22.54,8,19.31,613,-10.43,32.67,62.33,446722168982,904400884045,23.97,44.7,"Moderate","food, water",18.13,"Yes"
"4221","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",14.15,35.73,21.59,"Tourism",30.12,26.51,47.21,17.56,25.17,38984,-19.21,35.85,26,53951786890,85941820416,34.31,58.44,"Low","food, currency",364.46,"No"
"4222","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",11.89,60.06,48.17,"Services",67.71,24.73,60.59,21.67,43.5,10939,-75.26,23.57,19.28,259982723035,645293692128,33.97,66.1,"Dominant","water, weapons",167.85,"Yes"
"4223","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",9.29,21.75,12.46,"Manufacturing",16.63,24.54,38.79,11.7,26.49,80521,-22.39,8.22,8.83,210888338474,780858595605,13.7,35.65,"Moderate","food, medicine",18.05,"Yes"
"4224","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",10.6,29.92,19.32,"Tourism",22.75,10.76,29.86,18.18,24.09,9461,-83.13,68.39,55.01,142779418037,479992823765,13.33,27.17,"Dominant","food, fuel",8.67,"No"
"4225","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",7.27,32.13,24.87,"Construction",28.49,26.3,47.11,22.44,40.79,45155,-65.68,44.21,68.07,82952554815,266043969647,19.4,31.63,"Moderate","fuel, water",1.55,"Yes"
"4226","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",11.9,18.58,6.69,"Manufacturing",9.93,6.01,13.08,7.58,11.04,11027,-8.87,67.74,132.43,127873281269,300723734862,22.24,27.91,"Low","currency, food, fuel",13.77,"No"
"4227","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",3.35,7.17,3.82,"Tourism",5.43,23.21,26.46,8.1,18.03,217,-44.17,78.64,149.6,171607173876,406423216709,26.18,31.98,"Dominant","weapons, medicine, currency",11.41,"No"
"4228","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",14.31,38.44,24.12,"Manufacturing",33.66,14.05,31.73,19.51,27.02,408037,-8.93,27.3,15,5556855686,13809761638,20.73,49.06,"Low","currency",0.32,"No"
"4229","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",8.12,22.89,14.78,"Agriculture",18.14,9.6,25.16,15.85,19.08,75635,-10.63,78.19,85.18,94152502765,253582849367,26.58,40.31,"Moderate","water",3.44,"Yes"
"4230","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",3.35,17.04,13.69,"Tourism",17.01,25.76,37.07,25.51,27.36,63611,-18.11,118.09,105.65,313780059559,688612388526,35.65,90,"Low","water, fuel, weapons",269.31,"Yes"
"4231","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",8.82,18.1,9.28,"Services",12.7,23.22,32.45,12.82,19.73,1100,-41.65,7.22,14.25,171343386716,447872057301,20.1,51.12,"Dominant","weapons",357.8,"Yes"
"4232","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",10.67,34.9,24.22,"Services",30.78,16.78,37.56,14.21,27.46,13942,-62.84,98.01,88.16,93163407305,152320479327,22.57,47.76,"High","weapons, food",17.99,"No"
"4233","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",5.39,14.07,8.68,"Services",11.86,21.37,26.57,12.98,16.75,7351,-46.92,69.59,132.13,287125577264,462654438188,19.15,35.21,"Dominant","weapons, currency, medicine",17.75,"Yes"
"4234","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",5.36,10.14,4.78,"Energy",6.63,26.17,29.64,17.91,24.63,62932,-24.19,45.68,86.52,139481248495,441014617136,37.68,90,"Moderate","water",331.64,"Yes"
"4235","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",9.95,20.98,11.03,"Energy",12.39,25.78,37.69,26.26,26.79,472,-29.01,9.97,9.57,352845835388,1058390596193,15.93,47.29,"Moderate","fuel, weapons",4.73,"Yes"
"4236","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",13.41,24.34,10.93,"Construction",13.93,12.45,19.77,6.98,16.35,34327,-10.72,103.26,152.33,81964370883,147403238573,30.48,53.81,"Dominant","weapons, fuel",311.94,"Yes"
"4237","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",7.88,13.95,6.08,"Manufacturing",6.95,21.56,25.93,8.55,21.87,53375,-13.66,68.5,36.28,435396340736,834919600423,11.43,24.88,"Moderate","fuel",19.07,"No"
"4238","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",13.85,34.83,20.97,"Manufacturing",28.91,16.35,35.58,19.08,26.34,130,-25.02,76.66,129.57,128101601526,413617563265,10.84,26.11,"High","currency, medicine",1.27,"Yes"
"4239","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",14.66,51.45,36.79,"Tourism",50.6,13.87,35.03,11.54,27.77,91163,-48.44,102.92,122.19,116794889295,252298868474,38.43,90,"Moderate","water, medicine, fuel",126.2,"Yes"
"4240","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",3.03,11.5,8.47,"Agriculture",10.86,18.85,25.44,14.29,14.86,14746,-43.22,31.3,47.18,477485608047,1386456483090,29.69,78.41,"Moderate","currency",444.21,"No"
"4241","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",11.09,24.65,13.56,"Construction",17.67,25.95,34.59,11.45,28.89,26297,-25.8,99.86,191.6,276448356789,976039996545,26.34,33.19,"Dominant","fuel, food",19.12,"No"
"4242","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",7.38,9.41,2.03,"Construction",2.68,23.58,24.88,11.34,21.66,193512,-42.97,35.96,26.91,153714452120,347257938748,13.87,23.87,"Dominant","weapons, water",8.56,"Yes"
"4243","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",4.56,6.18,1.61,"Manufacturing",1.84,15.87,16.7,5.32,14.97,64220,-9.27,56.5,93.8,437675819463,1041204398294,14.1,22.85,"Low","fuel, weapons",7.49,"Yes"
"4244","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",9.38,19.84,10.46,"Energy",11.52,16.39,26.24,16.04,18.13,159,-19.55,80.95,77.61,106621204565,269618697229,23.72,64.5,"High","food, fuel, medicine",235.03,"No"
"4245","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",13.9,38.41,24.51,"Agriculture",28.17,21.94,50.07,29.61,26.65,111687,-17.7,33.32,36.07,419307389599,1489957824702,10.59,29.32,"Moderate","weapons, food, fuel",9.27,"No"
"4246","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",7.74,34.1,26.36,"Tourism",33.41,17.51,42.98,19.18,23.62,9651,-15.02,37.56,51.68,328977434305,626467402607,33.97,42.75,"Low","water, currency",15.63,"No"
"4247","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",12.59,16.15,3.56,"Services",4.52,25.81,29.8,17.23,23.47,737438,-17.49,123.87,158.93,377947146800,1404614846522,33.9,69.69,"High","medicine",186.37,"Yes"
"4248","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",8.6,14.92,6.32,"Agriculture",7.25,17.83,23.43,9.21,14.84,6311,-40.92,35.33,62.18,405731766868,1413261220331,32.28,90,"Dominant","currency",356.61,"Yes"
"4249","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",4.63,18.27,13.63,"Manufacturing",16.66,21.79,31.54,20.15,16.19,17452,-7.35,8.67,14.24,325523533426,663768424718,13.15,22.29,"Moderate","fuel, water, food",7.28,"Yes"
"4250","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",5.56,15.78,10.22,"Construction",15.08,25.62,32.94,18.24,29.01,13197,-66.82,96.84,187.11,316354497071,595006947162,16.12,41.88,"Moderate","food, weapons",12.76,"Yes"
"4251","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",11.05,21.18,10.13,"Manufacturing",11.88,28.83,37.6,24.46,29.41,35001,-30.53,154.19,295.39,167625064351,623436908336,23.44,55.67,"High","weapons, currency, fuel",48.89,"Yes"
"4252","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",10.97,51.63,40.66,"Manufacturing",47.28,9.25,32.73,11.02,21.38,2897,-15.62,32.59,64.79,485398104660,1042811296447,31.16,51.85,"Dominant","medicine, fuel, water",29.05,"Yes"
"4253","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",9.81,26.29,16.48,"Manufacturing",22.9,8.7,19.92,10.63,14.95,56587,-48.31,26.55,36.94,270852644856,721364735725,38.42,90,"High","weapons, water, food",433.13,"No"
"4254","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",6.44,18.95,12.51,"Manufacturing",15.03,7.3,15.61,10.14,10.49,9214,-6.49,75.46,52.18,391379207373,1042457526240,29.9,52.48,"Moderate","water, food",283.22,"Yes"
"4255","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",10.44,61.2,50.76,"Tourism",73.72,23.41,50.3,24.01,27.37,910,-28.25,85.08,65.84,313897969413,1126288686185,20.9,52.57,"High","fuel, medicine",361.09,"No"
"4256","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",5.57,16.31,10.74,"Manufacturing",15.93,18.82,25.5,11.62,14.88,667,-38.5,165.45,146.76,482722015664,1085640915474,12,20.46,"Moderate","medicine, food",5,"Yes"
"4257","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",8.85,22.77,13.92,"Energy",19.36,19.84,29.58,16.2,24.47,2725,-10.02,64.98,124.48,20849942167,33388567207,23.75,47,"High","weapons",4.68,"Yes"
"4258","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",9.77,26.24,16.47,"Services",19.03,8.46,19.96,8.19,16.36,7184,-10.9,76.32,70.38,409701017672,1180552170767,27.66,61.38,"Dominant","fuel",316.6,"Yes"
"4259","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",6.84,13.84,7,"Construction",8.54,21.23,27.13,17.44,18.29,862204,-16.38,59.17,57.02,420911715870,833027017543,15.06,41.13,"Low","food, water, weapons",3.76,"No"
"4260","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Palestine (Gaza)",14.14,42.59,28.45,"Construction",35.46,24.21,46.76,21.99,30.64,6318,-75.45,63.19,40.16,89587822682,322394945956,23.94,53.26,"Dominant","medicine",220.43,"No"
"4261","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Israel",8.02,16.36,8.34,"Manufacturing",10.32,12.8,19.26,9.17,10.74,481,-47.99,87.75,74.48,424797831852,1572797243740,35.95,78.8,"Low","weapons, water, medicine",136.88,"Yes"
"4262","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",7.63,19.5,11.87,"Manufacturing",16.47,10.39,18.24,7.48,13.96,72257,-7.15,108.49,109.5,371448584607,984034925060,32.97,43.63,"High","fuel, food, medicine",2.54,"Yes"
"4263","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",12.61,29.35,16.74,"Tourism",19.96,10.74,26.68,17.85,20.57,237962,-46.31,68.92,137.04,209497094265,383038573820,22.54,53.42,"High","currency, water, fuel",25.19,"Yes"
"4264","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",8.36,22.83,14.47,"Agriculture",18.71,10.51,17.78,11.2,15.41,143236,-18.93,60.12,74.58,390185061608,1495476204266,20.03,38.51,"High","fuel",2.79,"Yes"
"4265","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",14.88,20.07,5.18,"Energy",6.24,27.69,33.63,13.88,21.48,3473,-12.52,40.74,40.34,208920906561,508385225525,38.42,90,"High","weapons, food, medicine",448.42,"Yes"
"4266","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",7.14,12.71,5.58,"Agriculture",7.01,13.25,18.09,9.73,10.96,191923,-15.29,76.41,59.65,58035065894,142694784041,33.46,86.47,"Low","weapons, food, currency",479.76,"Yes"
"4267","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",3.67,9.82,6.15,"Manufacturing",8.94,14.57,19.98,8.2,16.42,27957,-18.31,64.2,70.57,464715257644,1734190752741,25.25,52.54,"Low","medicine, fuel",462.89,"Yes"
"4268","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",14.84,80.29,65.45,"Manufacturing",90.01,16.76,88.35,51.35,63.87,5446,-40.09,89.98,62.25,452252795385,926927040531,21.65,55.6,"Low","food, medicine, water",56.83,"Yes"
"4269","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",9.17,27.8,18.63,"Services",25.5,11.57,29.21,16.04,22.19,16065,-37.03,88.71,83.16,137784619847,481676025239,22.7,41.49,"Low","water, fuel, currency",14.85,"No"
"4270","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",3.21,8.27,5.07,"Agriculture",6.24,16.8,22.16,7.06,12.49,1376,-20.21,208.66,380.99,468590262149,1102283477055,18.91,30.66,"High","currency, food",16.6,"Yes"
"4271","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",5.54,10.24,4.7,"Construction",6.74,12.65,15.13,10.11,9.61,56519,-21.13,86.25,172.1,159340283335,350209792314,17.9,40.62,"Moderate","weapons, food",10.18,"Yes"
"4272","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Russia",12.72,34.98,22.27,"Construction",32.73,19.42,35.3,14.53,31.4,34747,-21.52,55.02,108.09,471888935818,1578400205317,14.63,22.25,"High","currency, weapons, water",13.77,"No"
"4273","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",9.3,19.69,10.39,"Tourism",15.44,16.93,24.12,9.92,20.59,2973,-23.3,69.41,110.25,286925766383,681433565741,22.59,52.45,"Dominant","medicine, water, weapons",405.68,"Yes"
"4274","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",5.74,13.61,7.87,"Services",11.07,23.75,32.26,20.77,16.29,36639,-46.96,39.04,30.22,186307082229,329050510176,29.85,56.74,"High","medicine",268.47,"No"
"4275","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",12.1,14.46,2.37,"Manufacturing",3.21,6.11,7.98,5.05,6.78,5628,-21.34,60.95,52.9,121633171214,351003520298,27.25,53.99,"Moderate","fuel",283.77,"No"
"4276","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",5.42,15.07,9.65,"Tourism",13.02,17.06,26.66,10.78,22.03,115102,-44.46,78.8,120.69,373134125643,630660531461,11.79,21.42,"High","fuel, weapons",7.27,"Yes"
"4277","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",3.1,7.93,4.83,"Services",6,9.14,13.36,6.77,9.57,57739,-29.4,30.58,25.93,164324189691,309453440468,12.04,24.46,"High","currency, weapons",6.56,"Yes"
"4278","Israel-Iran War","Interstate War","Middle East",2025,2026,"Ongoing","Iran",13.28,36.43,23.15,"Services",34.09,18.99,40.46,23.14,25.35,8370,-5.95,71.73,139.04,44699011915,129542535274,33.74,67.48,"Low","currency, water, medicine",474.75,"Yes"
"4279","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",11.04,64.2,53.16,"Construction",77.53,20.04,56.92,35.95,47.92,10639,-21.41,135.73,188.89,445803989961,758272477803,10.55,23.67,"Low","fuel, water",8.2,"No"
"4280","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",7.7,15.03,7.33,"Tourism",8.49,15.33,22.21,9.23,19.12,74207,-5.62,70.92,136.99,486946074950,1270636633803,28.13,61.14,"High","water, currency, medicine",105.37,"Yes"
"4281","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",7.95,12.5,4.54,"Agriculture",6.77,29.18,31.75,16.46,23.91,1577,-15.03,10,12.45,270446237853,851128376280,39.93,90,"Dominant","currency",294.2,"Yes"
"4282","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",6,10.97,4.97,"Construction",6.43,28.5,31.98,16.9,28.5,87849,-27.49,48.97,40.71,380130409159,1356216440357,12.96,23.05,"Moderate","weapons",1.83,"No"
"4283","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",7.71,16.68,8.97,"Services",10.06,14.81,23.62,10.54,17.84,280573,-14.66,76.16,80.04,496598873855,1258779468989,34.24,90,"High","fuel, weapons, medicine",408.12,"No"
"4284","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",5.66,14.99,9.32,"Services",13.19,6.94,15.66,7.68,7.91,68424,-36.08,138.57,242.12,398070502918,1210965190832,19.03,39.14,"High","medicine, currency",8.12,"Yes"
"4285","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",6.18,16.66,10.48,"Agriculture",13.72,17.22,24.39,10.24,14.68,1958,-22.49,114.43,158.19,282242163860,918902226129,35,90,"Moderate","medicine, water",281.71,"No"
"4286","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",9.73,20.52,10.79,"Agriculture",15.74,22.63,31.78,12.33,20.35,962,-45.24,110.51,154.39,204501944609,467337400059,38.5,70.13,"Low","currency",472.33,"Yes"
"4287","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",12.14,32.07,19.93,"Construction",29.11,23.75,44.26,22.3,35.75,119699,-31.58,110.3,115.52,432930992979,1199266518158,11.65,23.21,"Moderate","currency",18.77,"Yes"
"4288","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",11.24,44.02,32.78,"Services",44.52,14.77,38.19,23.48,20.17,157957,-27.43,6.07,11.38,451471577388,1503853811712,33.72,85.1,"Moderate","medicine, food",429.28,"Yes"
"4289","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",10.76,21.3,10.54,"Services",13.23,8.05,17.58,10.69,11.4,52212,-41.16,90.84,171.98,365601525623,921707879566,22.38,54.53,"High","fuel, water, currency",416.72,"Yes"
"4290","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",4.79,10.74,5.95,"Manufacturing",7.14,27.43,30.64,16.02,22.54,547,-5.3,97.88,128.36,234643453279,715291316599,19.5,49.78,"Moderate","fuel, water",3.3,"Yes"
"4291","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",9.21,22.38,13.17,"Manufacturing",16.97,11.38,22.39,14.75,14.05,1119832,-11.92,14.8,16.35,103365144794,244110988913,31.95,47.26,"Dominant","fuel, food, water",7.11,"Yes"
"4292","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",12.9,35.32,22.42,"Energy",30.24,8.42,19.65,8.96,15.16,56220,-36.01,115.53,78.86,130703560003,510448628376,13.57,16.42,"Moderate","fuel",9.37,"Yes"
"4293","Israel-Hamas War","Asymmetric War","Middle East",2023,2026,"Ongoing","Israel",3.46,12.17,8.71,"Manufacturing",11.4,10.27,15.09,6.51,9.82,4884,-63.18,118.73,117.91,351160975437,623404607681,37.36,90,"Dominant","medicine",408.69,"No"
"4294","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",13.8,39.58,25.78,"Construction",35.42,11.69,36.06,22.08,30.12,10790,-16.4,102.55,117.5,388484818614,717505510027,20,41.51,"Dominant","fuel, water, weapons",0.27,"Yes"
"4295","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",10.43,23.28,12.86,"Services",17.09,29.01,40.48,20.36,28.47,61382,-43.39,48.39,39.75,152133377863,352450522769,37.04,90,"Moderate","weapons, water",364.18,"No"
"4296","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",9.15,23.29,14.15,"Energy",17.62,10.06,18.18,8.41,13.86,4349,-42.91,92.14,183.82,281260160780,1117858155337,26.66,49.56,"High","medicine",0.84,"Yes"
"4297","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",9.59,24.5,14.91,"Agriculture",20.37,26.65,43.02,15.05,35,10252,-48.53,137.55,214.39,190699917748,439271583325,10.96,28.05,"Dominant","food, water",18.01,"Yes"
"4298","Iraq War","Interstate War","Middle East",2003,2011,"Resolved","Iraq",9.51,19.11,9.6,"Energy",11.59,15.36,22.63,11.95,14.89,50891,-32.66,92.39,53.13,163748565539,258656033135,28.99,49.03,"Moderate","currency, water",13.28,"Yes"
"4299","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",11.48,26.53,15.05,"Services",22.27,23.94,41.4,15.05,33.1,926899,-19.98,73.94,57.94,496783718693,1481845466486,11.02,27.1,"Moderate","fuel, food",12.71,"Yes"
"4300","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",3.39,9.64,6.25,"Construction",7.58,25.54,30.5,19.67,24.71,4377,-44.12,87.32,171.94,202463071218,438634364121,28.33,73.62,"Dominant","fuel, currency",435.1,"Yes"
"4301","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",13.57,16.53,2.96,"Construction",4.31,10.14,13.65,7.5,12.18,445117,-17.33,13.87,13.84,193549673569,445170010683,38.83,56.33,"Moderate","water, medicine",100.74,"No"
"4302","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",3.58,9.21,5.63,"Energy",8,7.66,11.08,4.66,6.25,8080,-31.05,50.95,94.95,392938094848,1085273225209,16.69,38.61,"High","weapons",0.73,"Yes"
"4303","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",8.67,21.16,12.49,"Tourism",16.21,24.78,34.26,20.36,20.94,18322,-8.97,109.13,96.04,368393268815,728854489634,31.3,67.2,"High","medicine, fuel",161.92,"Yes"
"4304","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",4.39,19.68,15.3,"Agriculture",19.57,26.03,39.4,22.12,19.81,21977,-34.82,96.23,125.42,93558004211,253964517456,38.45,57.08,"Low","weapons, medicine, food",142.67,"Yes"
"4305","DRC Conflict","Civil War","Africa",1996,2026,"Ongoing","DRC",5.98,16.26,10.29,"Construction",11.74,19.36,26.61,8.27,21.95,2688,-16.07,65.03,108.44,11529441206,18996153553,16.65,45.88,"Low","currency, water, medicine",18.17,"Yes"
"4306","Afghanistan War","Interstate/Counter-insurgency","South Asia",2001,2021,"Resolved","Afghanistan",9.41,18.21,8.79,"Construction",11.93,15.28,25.41,13.25,22.39,866,-31.76,50.29,88.83,282735712926,994623144050,32.66,56.79,"Moderate","food",301.63,"Yes"
"4307","WWII (Japan)","World War","East Asia",1939,1945,"Resolved","Japan",5.72,10.89,5.17,"Services",7.17,10.22,13.26,5.03,8.61,81188,-5.59,56.05,67.43,53331117009,204410809582,15.62,30.92,"Moderate","currency, water",19.09,"Yes"
"4308","WWII (Germany)","World War","Europe",1939,1945,"Resolved","Germany",13.74,32.42,18.68,"Agriculture",24.56,13.38,29.48,16.4,20.36,1882,-49.95,73.24,94.06,226151602696,406071204062,36.36,69.94,"Dominant","currency, food, medicine",374.56,"Yes"
"4309","Russia-Ukraine War","Interstate War","Europe",2022,2026,"Ongoing","Ukraine",4.67,10.9,6.23,"Manufacturing",6.95,29.04,35.74,10.88,22.03,693,-38.37,74.54,147.02,445884457606,1179019310607,15.51,43.43,"Dominant","fuel, medicine",8.67,"Yes"
"4310","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",3.99,17.22,13.23,"Tourism",19.53,6.47,16.53,7.53,8.59,1551,-35.22,50.75,88.76,198707410097,705717048280,33.64,51.76,"Moderate","food, fuel, medicine",475.96,"No"
"4311","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",9.85,26.99,17.14,"Agriculture",22.47,13.09,31.15,20.45,24.82,7274,-46.37,105.62,114.98,475935555634,1815383582201,29.82,36.25,"High","medicine",8.01,"Yes"
"4312","Tigray Conflict","Civil War","Africa",2020,2022,"Resolved","Ethiopia",10.52,18.73,8.21,"Services",11.21,24.64,32.49,14.74,29.07,4568,-14.09,80.8,159.3,165329148878,659482614453,37.11,90,"Dominant","water, food",152.83,"Yes"
"4313","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",11.51,31.02,19.5,"Construction",26.11,15.45,27.85,12.79,20.58,902,-41.15,95.19,174.2,124520331285,223545790656,35.75,90,"Dominant","medicine, water, weapons",123.02,"Yes"
"4314","Yemen Civil War","Civil War","Middle East",2015,2026,"Ongoing","Yemen",7.4,30.21,22.81,"Manufacturing",31.29,5.48,19.91,9.79,14.7,202097,-37.15,38.28,69.22,4767946603,18115018248,38.67,83.94,"Low","water, medicine, fuel",326.39,"Yes"
"4315","Syrian Civil War","Civil War","Middle East",2011,2026,"Ongoing","Syria",14.04,61.47,47.43,"Tourism",66.33,5.65,51.15,22.66,33.56,572714,-22.44,53.87,39.22,309483792458,968226377045,18.52,43.73,"Moderate","currency, water",17.31,"No"
